Kunta,s_4_q_3a,s_4_q_3b
Akaa,0,0
Alajärvi,0,0
Alavieska,0,0
Alavus,1,0
Asikkala,0,0
Askola,1,0
Aura,0,0
Enonkoski,0.4,0
Espoo,3,0
Eura,0,0
Eurajoki,1,0
Evijärvi,0,0
Forssa,0,0
Haapajärvi,0,0
Haapavesi,0,0
Hailuoto,0,0
Hamina,2,0
Hankasalmi,0,0
Hanko,1,0
Harjavalta,0,0
Hartola,0,0
Hattula,1,0
Hausjärvi,0,0
Heinola,0.5,0
Heinävesi,0,0
Helsinki,10.55,1.2
Hirvensalmi,0.25,0
Hollola,0,0
Honkajoki,0,0
Huittinen,0.2,0
Humppila,0,0
Hyrynsalmi,0,0
Hyvinkää,0,0
Hämeenkoski,0,0
Hämeenkyrö,0,0
Hämeenlinna,6.95,0
Iisalmi,0,1
Iitti,0,0
Ikaalinen,0,0
Ilmajoki,0,0
Ilomantsi,0,0
Imatra,0,0
Inari,0,0
Inkoo,0,0
Isojoki,0,0
Isokyrö,0,0
Jalasjärvi,0,0
Janakkala,0,0
Joensuu,1.5,0
Jokioinen,0,0
Joroinen,0.5,0
Joutsa,0.6,0
Juankoski,0,0
Juuka,0,0
Juva,0,0
Jyväskylä,0,2
Jämijärvi,0,0
Jämsä,0,0
Järvenpää,2.5,0
Kaarina,0,0
Kaavi,0,0
Kajaani,1.4,0
Kalajoki,0,0
Kangasala,1,0
Kangasniemi,0.5,0
Kankaanpää,0,0
Kannonkoski,0,0
Kannus,0,0
Karkkila,0,0
Karstula,0,0
Kaskinen,0,0
Kauhajoki,0,0
Kauhava,0,0
Kauniainen,0,0
Kaustinen,0,0
Keitele,0,0
Kemi,0,0
Kemijärvi,0,0
Keminmaa,0,0
Kemiönsaari,0,0
Kempele,0,0
Kerava,1,0
Keuruu,1,0
Kihniö,0,0
Kinnula,0,0
Kirkkonummi,0,0
Kitee,0,0
Kittilä,0,0
Kiuruvesi,0,0.9
Kivijärvi,0,0
Kokemäki,0.5,0
Kokkola,0,0
Kolari,0,0
Konnevesi,0,0
Kontiolahti,0.4,0
Korsnäs,0,0
Koski Tl,0,0
Kotka,1,0
Kouvola,2.5,0
Kruunupyy,0,0
Kuhmo,0,0
Kuhmoinen,0.3,0
Kuopio,0,0
Kuortane,0,0
Kurikka,0,0
Kustavi,0,0
Kuusamo,1,0
Kyyjärvi,0,0
Kärkölä,0,0
Kärsämäki,0,0
Köyliö,0,0
Lahti,4,0
Laihia,0,0
Laitila,0,0
Lapinjärvi,0.5,0
Lapinlahti,0.1,0
Lappajärvi,0,0
Lappeenranta,6.5,0
Lapua,0,0
Laukaa,0.3,0
Lavia,0,0
Lemi,0.2,0
Lempäälä,0,0
Leppävirta,0,0
Lieksa,0.5,0
Lieto,0,0
Liminka,0,0
Liperi,0,0
Lohja,0.3,0
Loimaa,1,0
Loppi,0,0
Loviisa,0,0
Luhanka,0,0
Lumijoki,0,0
Luoto,0,0
Luumäki,1,0
Luvia,0,0
Maalahti,0,0
Maaninka,0,0
Marttila,0,0
Merikarvia,0,0
Miehikkälä,0,0
Mikkeli,2.6,0
Muhos,0,0
Multia,0,0
Muonio,0,0
Mustasaari,3,1
Muurame,0,0
Mynämäki,2,1
Myrskylä,0,0
Mäntsälä,0.5,0
Mänttä-Vilppula,0,0
Mäntyharju,1,1
Naantali,0,0
Nakkila,0,0
Nastola,0,0
Nivala,0,0
Nokia,0.1,0
Nousiainen,0,0
Nurmes,0.1,0
Nurmijärvi,0,0
Närpiö,0,0
Orimattila,0,0
Oripää,0,0
Oulainen,0,0
Oulu,2,0.5
Outokumpu,0,0
Padasjoki,0,0
Paimio,0.5,0
Paltamo,0,0
Parainen,0,0.25
Parikkala,0.2,0
Parkano,0,0
Pelkosenniemi,0,0
Pello,0,0
Pertunmaa,0,0
Petäjävesi,0,0
Pieksämäki,0.5,0
Pielavesi,0,0
Pietarsaari,0.25,0
Pihtipudas,0,0
Pirkkala,0,0
Polvijärvi,0,0
Pomarkku,0,0
Pori,0,0
Pornainen,0.33,0
Porvoo,0,0
Posio,0,0
Pudasjärvi,0,0
Pukkila,0,0
Puolanka,0,0
Puumala,0.1,0
Pyhtää,1,0
Pyhäjoki,0,0
Pyhäjärvi,0,0
Pyhäntä,0,0
Pälkäne,1,0
Pöytyä,0,0
Raahe,0,0
Raasepori,0,0
Raisio,1.2,0.5
Rantasalmi,0,0
Ranua,0,0
Rauma,1,0
Rautalampi,0.3,0
Rautavaara,0.2,0
Rautjärvi,0,0
Reisjärvi,0,0
Riihimäki,1,0
Ristijärvi,0,0
Rovaniemi,1.5,0
Ruokolahti,0,0
Ruovesi,1,0
Rääkkylä,0,0
Saarijärvi,0,0
Salla,0,0
Salo,4.4,2
Sastamala,1,0
Sauvo,0,0
Savitaipale,0.6,0
Savonlinna,1.1,0
Savukoski,0,0
Seinäjoki,1,0
Sievi,0,0
Siikainen,0,0
Siikajoki,0,0
Siikalatva,0,0
Siilinjärvi,0,0
Simo,0,0
Sipoo,1.5,0.5
Sodankylä,0,0
Soini,0,0
Somero,0,0
Sonkajärvi,0.55,0
Sotkamo,0.5,0
Sulkava,0,0
Suomussalmi,1,0
Suonenjoki,1,0
Sysmä,0,0
Säkylä,0,0
Taipalsaari,1,0
Taivalkoski,0,0
Taivassalo,0,0
Tammela,0,1
Tampere,2.4,0
Tarvasjoki,0,0
Tervo,0,0
Tervola,0,0
Teuva,0,0
Tohmajärvi,0,0
Toholampi,0,0
Toivakka,0,0
Tornio,0,0
Turku,1.5,0
Tuusniemi,0,0
Tuusula,0,0
Tyrnävä,0,0
Ulvila,0.45,0
Utajärvi,0,0
Utsjoki,0.1,0
Uurainen,0,0
Uusikaarlepyy,0,0
Uusikaupunki,0,0
Vaala,0,0
Vaasa,0,0
Valkeakoski,5,0
Valtimo,0,0
Vantaa,0,0
Varkaus,1,0
Vehmaa,0,0
Vesanto,0,0
Vesilahti,0,0
Vieremä,0.55,0
Viitasaari,0,0
Vimpeli,0,0
Virrat,0,1
Vöyri,0,0
Ylitornio,0,0
Ylivieska,0,0
Ylöjärvi,0.5,0
Ypäjä,0,0
Ähtäri,0,0
Äänekoski,0,0
